kommune_kode,poverty_relative_pct,poverty_relative_ratio,gender_leadership_pct,gender_leadership_ratio
101,20.6,64.56,38.28,119.22
147,14.9,89.26,41.23,128.4
151,11.1,119.82,32.07,99.88
153,17.4,76.44,24.15,75.21
155,5.7,233.33,27.36,85.21
157,9.6,138.54,32.46,101.09
159,12.6,105.56,36.13,112.52
161,12.9,103.1,30.9,96.23
163,11.3,117.7,32.47,101.12
165,15.8,84.18,32.37,100.81
167,12.2,109.02,24.29,75.65
169,14.5,91.72,31.38,97.73
173,11.8,112.71,35.85,111.65
175,12.8,103.91,28.91,90.03
183,16.6,80.12,28.01,87.23
185,9.8,135.71,34.33,106.91
187,11.4,116.67,33.72,105.01
190,6.9,192.75,30.12,93.8
201,5.4,246.3,29.03,90.41
210,9.0,147.78,37.41,116.51
217,10.2,130.39,36.23,112.83
219,8.7,152.87,35.89,111.77
223,7.3,182.19,35.77,111.4
230,7.6,175.0,32.36,100.78
240,6.1,218.03,35.67,111.09
250,9.2,144.57,35.13,109.41
253,8.9,149.44,29.16,90.81
259,10.3,129.13,30.5,94.99
260,10.3,129.13,39.87,124.17
265,9.4,141.49,33.59,104.61
269,6.0,221.67,26.94,83.9
270,9.6,138.54,40.93,127.47
306,13.2,100.76,44.66,139.08
316,10.6,125.47,37.81,117.75
320,11.2,118.75,30.58,95.24
326,11.4,116.67,33.83,105.36
329,10.8,123.15,29.99,93.4
330,14.3,93.01,33.59,104.61
336,9.5,140.0,35.71,111.21
340,10.4,127.88,33.07,102.99
350,7.4,179.73,38.08,118.59
360,18.2,73.08,32.41,100.93
370,12.0,110.83,38.01,118.37
376,15.5,85.81,34.05,106.04
390,13.7,97.08,32.86,102.34
400,13.3,100.0,36.92,114.98
410,8.8,151.14,29.73,92.59
420,11.3,117.7,26.35,82.06
430,10.7,124.3,30.7,95.61
440,10.4,127.88,28.08,87.45
450,11.8,112.71,35.42,110.31
461,18.4,72.28,32.04,99.78
479,13.4,99.25,36.73,114.39
480,11.2,118.75,30.95,96.39
482,17.1,77.78,28.78,89.63
492,18.6,71.51,40.0,124.57
510,13.4,99.25,28.96,90.19
530,9.0,147.78,34.04,106.01
540,14.1,94.33,30.28,94.3
550,15.5,85.81,34.07,106.1
561,11.7,113.68,27.47,85.55
563,9.2,144.57,37.5,116.79
573,10.1,131.68,32.51,101.25
575,10.5,126.67,26.4,82.22
580,13.5,98.52,27.01,84.12
607,12.5,106.4,27.0,84.09
615,11.1,119.82,27.96,87.08
621,11.9,111.76,26.78,83.4
630,10.1,131.68,30.13,93.83
657,10.8,123.15,28.0,87.2
661,11.2,118.75,25.28,78.73
665,11.4,116.67,29.21,90.97
671,11.7,113.68,23.08,71.88
706,10.4,127.88,30.74,95.73
707,13.4,99.25,29.82,92.87
710,7.4,179.73,27.17,84.62
727,8.5,156.47,44.59,138.87
730,13.3,100.0,27.16,84.58
740,9.1,146.15,28.14,87.64
741,13.8,96.38,34.55,107.6
746,6.6,201.52,28.6,89.07
751,20.1,66.17,30.44,94.8
756,11.2,118.75,26.99,84.05
760,9.9,134.34,25.57,79.63
766,8.3,160.24,26.47,82.44
773,13.9,95.68,28.88,89.94
779,11.4,116.67,25.06,78.04
787,13.1,101.53,24.96,77.73
791,11.2,118.75,28.04,87.32
810,11.6,114.66,33.05,102.93
813,11.8,112.71,28.19,87.79
820,12.5,106.4,27.12,84.46
825,14.3,93.01,31.58,98.35
840,7.6,175.0,26.89,83.74
846,11.6,114.66,26.91,83.81
849,11.9,111.76,35.42,110.31
851,16.3,81.6,28.71,89.41
860,12.4,107.26,29.56,92.06
